	改訂履歴

	文書名	CAREER PLUS_APIv2_項目一覧		文書番号

	改定日	改定者	改定箇所	改定内容
	2024-10-16 00:00:00	関谷	求職者 / 求職者候補	CAREER PLUS バージョンアップ（v3.8.0）に伴う修正 /  / 下記項目を削除 / <求職者>シート / ・CAREER#EMAILCELLULAR / ・CAREER#EMAILCELLULAR_FLG / ・CAREER#EMAILHOME / ・CAREER#EMAILHOME_FLG / ・CAREER#TELCELLULAR / ・CAREER#TELCELLULAR_FLG / ・CAREER#TELHOME / ・CAREER#TELHOME_FLG / ・CAREER#FAXHOME / ・CAREER#MSGFMLY_FLG / <求職者候補>シート / ・WRKCAREER#EMAILCELLULAR / ・WRKCAREER#EMAILCELLULAR_FLG / ・WRKCAREER#EMAILHOME / ・WRKCAREER#EMAILHOME_FLG / ・WRKCAREER#TELCELLULAR / ・WRKCAREER#TELCELLULAR_FLG / ・WRKCAREER#TELHOME / ・WRKCAREER#TELHOME_FLG / ・WRKCAREER#FAXHOME / ・WRKCAREER#MSGFMLY_FLG
	2024-10-16 00:00:00	関谷	求職者	CAREER PLUS バージョンアップ（v3.8.0）に伴う修正 /  / 下記項目を追加 / <求職者>シート / ・CAREER#TEL1 / ・CAREER#CAN_CONTACT_TEL1 / ・CAREER#IS_TEL1_PREFERRED / ・CAREER#TEL2 / ・CAREER#CAN_CONTACT_TEL2 / ・CAREER#IS_TEL2_PREFERRED / ・CAREER#TEL3 / ・CAREER#CAN_CONTACT_TEL3 / ・CAREER#IS_TEL3_PREFERRED / ・CAREER#EMAIL1 / ・CAREER#CAN_CONTACT_EMAIL1 / ・CAREER#IS_EMAIL1_PREFERRED / ・CAREER#EMAIL2 / ・CAREER#CAN_CONTACT_EMAIL2 / ・CAREER#IS_EMAIL2_PREFERRED / ・CAREER#EMAIL3 / ・CAREER#CAN_CONTACT_EMAIL3 / ・CAREER#IS_EMAIL3_PREFERRED / ・CAREER#SNS1 / ・CAREER#SNS2 / ・CAREER#SNS3 / ・CAREER#SNS4
	2024-10-16 00:00:00	関谷	求職者候補	CAREER PLUS バージョンアップ（v3.8.0）に伴う修正 /  / 下記項目を追加 / <求職者候補>シート / ・WRKCAREER#TEL1 / ・WRKCAREER#CAN_CONTACT_TEL1 / ・WRKCAREER#IS_TEL1_PREFERRED / ・WRKCAREER#TEL2 / ・WRKCAREER#CAN_CONTACT_TEL2 / ・WRKCAREER#IS_TEL2_PREFERRED / ・WRKCAREER#TEL3 / ・WRKCAREER#CAN_CONTACT_TEL3 / ・WRKCAREER#IS_TEL3_PREFERRED / ・WRKCAREER#EMAIL1 / ・WRKCAREER#CAN_CONTACT_EMAIL1 / ・WRKCAREER#IS_EMAIL1_PREFERRED / ・WRKCAREER#EMAIL2 / ・WRKCAREER#CAN_CONTACT_EMAIL2 / ・WRKCAREER#IS_EMAIL2_PREFERRED / ・WRKCAREER#EMAIL3 / ・WRKCAREER#CAN_CONTACT_EMAIL3 / ・WRKCAREER#IS_EMAIL3_PREFERRED / ・WRKCAREER#SNS1 / ・WRKCAREER#SNS2 / ・WRKCAREER#SNS3 / ・WRKCAREER#SNS4
	2024-10-16 00:00:00	青木	求職者候補	CAREER PLUS バージョンアップ（v3.8.0）に伴う修正 /  / <求職者候補>シート / 下記項目の項目ラベルを変更 / 英語・ビジネス経験 → 英語・ビジネス経験（経験年数） / ・WRKCAREER#ENGEXPYEAR /  / 下記項目を追加 / ・WRKCAREER#ADDR1KANA / ・WRKCAREER#ADDR2KANA / ・WRKCAREER#CNSLSTATUS_ID / ・WRKCAREER#RANK_ID / ・WRKCAREER#CHECK_FLG / ・WRKCAREER#PUBLICEMPLOYMENT_ID / ・WRKCAREER#PUBLICEMPLOYMENT_REV2023_ID / ・WRKCAREER#DOC_READING_FLG / ・WRKCAREER#TO_EXCHANGE_EMAIL_FLG / ・WRKCAREER#TEL_CONVERSATION_FLG / ・WRKCAREER#CONFERENCE_IN_ENG_FLG / ・WRKCAREER#BUSI_TALK_AND_NEGO_IN_ENG_FLG / ・WRKCAREER#STAY_ABROAD_FLG / ・WRKCAREER#MONTHLY_ANNUALINCOME_NUM / ・WRKCAREER#YEAR_BONUS / ・WRKCAREER#ALLOWANCE_ID1～4 / ・WRKCAREER#ALLOWANCE_NUM_1～4 / ・WRKCAREER#CAREER_SHEET_MEMO
	2024-12-18 00:00:00	青木	求人	CAREER PLUS バージョンアップ（v3.8.3）に伴う修正 /  / 下記項目を削除 / <求人>シート / ・ORDER#MEDIA9_FLG / ・ORDER#MEDIA9_REQUESTDATE
	2024-12-24 00:00:00	畝重	求職者対応履歴 / 企業対応履歴	CAREER PLUS バージョンアップ（v3.9.0）に伴う修正 /  / 下記項目を必須から条件付き必須へ変更 / <求職者対応履歴> / ・CAREER_ACTION#ACTION_DATE / ・CAREER_ACTION#ACTION_ID / ・CAREER_ACTION#ACTIONCHARGE_ID /  / <企業対応履歴>シート / ・CLIENT_ACTION#ACTION_ID / ・CLIENT_ACTION#ACTION_DATE / ・CLIENT_ACTION#ACTIONCHARGE_ID
	2025-02-26 00:00:00	堀	求人	CAREER PLUS バージョンアップ（v3.9.2）に伴う修正 /  / 下記項目を追加 / <求人>シート / ・ORDER#MINSALARYINCM / ・ORDER#MAXSALARYINCM / ・ORDER#SALARYINCMMEMO
	2025-04-25 00:00:00	時田	求職者対応履歴	CAREER PLUS バージョンアップ（v3.10.1）に伴う修正 /  / 下記項目を追加 / <求職者対応履歴>シート / ・CAREER_ACTION#ACTIONCHOICE_ID1 / ・CAREER_ACTION#ACTIONCHOICE_ID2 / ・CAREER_ACTION#ACTIONCHOICE_ID3 / ・CAREER_ACTION#ACTIONTEXT1 / ・CAREER_ACTION#ACTIONTEXT2
	2026-01-09 00:00:00	本居	部署	CAREER PLUS バージョンアップ（v3.14.2）に伴う修正 /  / 下記項目を必須に変更 / ・DEPARTMENT#CHARGE_ID
	2026-05-07 00:00:00	本居	求職者 / 求人 / 求職者候補	CAREER PLUS バージョンアップ（v3.14.7）に伴う修正 /  / 下記項目を削除 / ・CAREER#PUBLICEMPLOYMENT_ID / ・ORDER#PUBLICEMPLOYMENT_ID / ・WRKCAREER#PUBLICEMPLOYMENT_ID / 
